t,M,central_I,tau
94.75,166.8583863259505,1.0,22.323376869840118
95.0,166.85859343609883,1.0,22.323432162778662
95.25,166.858797535447,1.0,22.323486651980236
95.5,166.8589986695444,1.0,22.323540349602418
95.75,166.85919688321746,1.0,22.323593267609866
96.0,166.85939222058136,1.0,22.32364541777745
96.25,166.85958472505234,1.0,22.323696811693537
96.5,166.85977443935928,1.0,22.323747460763087
96.75,166.85996140555505,1.0,22.32379737621066
97.0,166.86014566502826,1.0,22.32384656908356
97.25,166.86032725851388,1.0,22.32389505025468
97.5,166.8605062261045,1.0,22.323942830425484
97.75,166.86068260726088,1.0,22.323989920128845
98.0,166.8608564408226,1.0,22.32403632973185
98.25,166.86102776501815,1.0,22.32408206943853
98.5,166.86119661747557,1.0,22.324127149292675
98.75,166.86136303523182,1.0,22.32417157918034
99.0,166.86152705474302,1.0,22.32421536883259
99.25,166.86168871189392,1.0,22.324258527827993
99.5,166.86184804200735,1.0,22.324301065595165
99.75,166.86200507985353,1.0,22.324342991415257
100.0,166.8621598596593,1.0,22.3243843144244
100.25,166.86231241511683,1.0,22.324425043616046
100.5,166.86246277939262,1.0,22.324465187843348
100.75,166.8626109851362,1.0,22.32450475582152
101.0,166.86275706448845,1.0,22.324543756129994
101.25,166.8629010490901,1.0,22.324582197214752
101.5,166.86304297008985,1.0,22.324620087390443
101.75,166.8631828581525,1.0,22.324657434842592
102.0,166.8633207434668,1.0,22.324694247629665
102.25,166.86345665575328,1.0,22.324730533685166
102.5,166.86359062427198,1.0,22.324766300819704
102.75,166.8637226778298,1.0,22.324801556722957
103.0,166.8638528447879,1.0,22.32483630896563
103.25,166.86398115306923,1.0,22.324870565001476
103.5,166.86410763016522,1.0,22.32490433216909
103.75,166.86423230314318,1.0,22.32493761769387
104.0,166.86435519865307,1.0,22.32497042868981
104.25,166.86447634293404,1.0,22.325002772161277
104.5,166.86459576182153,1.0,22.32503465500489
104.75,166.8647134807534,1.0,22.325066084011144
105.0,166.8648295247765,1.0,22.325097065866178
105.25,166.86494391855314,1.0,22.325127607153508
105.5,166.86505668636704,1.0,22.32515771435559
105.75,166.8651678521296,1.0,22.325187393855508
106.0,166.8652774393858,1.0,22.32521665193856
106.25,166.86538547132022,1.0,22.325245494793833
106.5,166.86549197076278,1.0,22.325273928515756
106.75,166.8655969601943,1.0,22.325301959105605
107.0,166.86570046175234,1.0,22.325329592473008
107.25,166.8658024972365,1.0,22.325356834437393
107.5,166.86590308811395,1.0,22.32538369072947
107.75,166.86600225552468,1.0,22.325410166992615
108.0,166.8661000202868,1.0,22.32543626878429
108.25,166.86619640290166,1.0,22.325462001577403
108.5,166.86629142355878,1.0,22.325487370761635
108.75,166.86638510214107,1.0,22.325512381644838
109.0,166.8664774582295,1.0,22.32553703945425
109.25,166.86656851110791,1.0,22.325561349337818
109.5,166.86665827976788,1.0,22.325585316365462
109.75,166.86674678291325,1.0,22.325608945530313
110.0,166.86683403896478,1.0,22.325632241749933
110.25,166.86692006606455,1.0,22.325655209867502
110.5,166.86700488208027,1.0,22.325677854652962
110.75,166.86708850461002,1.0,22.325700180804287
111.0,166.867170950986,1.0,22.325722192948472
111.25,166.86725223827915,1.0,22.325743895642784
111.5,166.867332383303,1.0,22.325765293375778
111.75,166.86741140261782,1.0,22.325786390568407
112.0,166.8674893125347,1.0,22.32580719157511
112.25,166.86756612911944,1.0,22.32582770068484
112.5,166.86764186819613,1.0,22.32584792212205
112.75,166.8677165453514,1.0,22.325867860047797
113.0,166.86779017593784,1.0,22.325887518560656
113.25,166.86786277507778,1.0,22.325906901697753
113.5,166.86793435766685,1.0,22.325926013435694
113.75,166.86800493837757,1.0,22.32594485769152
114.0,166.86807453166278,1.0,22.325963438323654
114.25,166.86814315175928,1.0,22.325981759132826
114.5,166.8682108126908,1.0,22.325999823862894
114.75,166.8682775282718,1.0,22.326017636201872
115.0,166.8683433121104,1.0,22.326035199782673
115.25,166.86840817761168,1.0,22.32605251818402
115.5,166.86847213798092,1.0,22.326069594931294
115.75,166.86853520622662,1.0,22.32608643349736
116.0,166.8685973951636,1.0,22.32610303730336
116.25,166.868658717416,1.0,22.326119409719567
116.5,166.86871918542016,1.0,22.326135554066088
116.75,166.86877881142775,1.0,22.32615147361376
117.0,166.8688376075084,1.0,22.326167171584807
117.25,166.8688955855526,1.0,22.326182651153644
117.5,166.86895275727449,1.0,22.326197915447604
117.75,166.86900913421465,1.0,22.326212967547693
118.0,166.8690647277425,1.0,22.326227810489215
118.25,166.86911954905946,1.0,22.32624244726264
118.5,166.86917360920097,1.0,22.326256880814125
118.75,166.86922691903942,1.0,22.326271114046296
119.0,166.86927948928644,1.0,22.326285149818876
119.25,166.8693313304956,1.0,22.326298990949383
119.5,166.8693824530647,1.0,22.326312640213743
119.75,166.86943286723812,1.0,22.326326100346954
120.0,166.8694825831093,1.0,22.32633937404369
120.25,166.86953161062294,1.0,22.32635246395895
120.5,166.86957995957738,1.0,22.326365372708633
120.75,166.86962763962674,1.0,22.326378102870148
121.0,166.86967466028327,1.0,22.326390656983026
121.25,166.86972103091927,1.0,22.326403037549458
121.5,166.8697667607696,1.0,22.32641524703492
121.75,166.86981185893342,1.0,22.326427287868672
122.0,166.8698563343765,1.0,22.326439162444363
122.25,166.86990019593298,1.0,22.32645087312051
122.5,166.86994345230784,1.0,22.326462422221134
122.75,166.86998611207832,1.0,22.32647381203617
123.0,166.87002818369638,1.0,22.326485044822103
123.25,166.87006967549007,1.0,22.32649612280233
123.5,166.87011059566595,1.0,22.32650704816783
123.75,166.87015095231055,1.0,22.32651782307753
124.0,166.8701907533924,1.0,22.326528449658852
124.25,166.87023000676362,1.0,22.32653893000816
124.5,166.8702687201619,1.0,22.326549266191236
124.75,166.87030690121216,1.0,22.32655946024379
125.0,166.87034455742815,1.0,22.326569514171837
125.25,166.87038169621425,1.0,22.32657942995219
125.5,166.87041832486716,1.0,22.32658920953293
125.75,166.8704544505773,1.0,22.326598854833758
126.0,166.87049008043076,1.0,22.326608367746513
126.25,166.8705252214105,1.0,22.32661775013552
126.5,166.87055988039816,1.0,22.326627003838038
126.75,166.87059406417555,1.0,22.32663613066469
127.0,166.87062777942606,1.0,22.326645132399808
127.25,166.87066103273617,1.0,22.326654010801867
127.5,166.87069383059708,1.0,22.326662767603896
127.75,166.87072617940572,1.0,22.32667140451376
128.0,166.87075808546666,1.0,22.326679923214673
128.25,166.87078955499328,1.0,22.326688325365485
128.5,166.87082059410892,1.0,22.32669661260103
128.75,166.87085120884865,1.0,22.326704786532567
129.0,166.87088140516022,1.0,22.326712848748038
129.25,166.87091118890564,1.0,22.32672080081251
129.5,166.87094056586233,1.0,22.326728644268446
129.75,166.87096954172424,1.0,22.32673638063605
130.0,166.8709981221035,1.0,22.326744011413655
130.25,166.87102631253123,1.0,22.326751538077993
130.5,166.87105411845897,1.0,22.326758962084533
130.75,166.87108154525978,1.0,22.326766284867794
131.0,166.87110859822945,1.0,22.326773507841672
131.25,166.87113528258774,1.0,22.32678063239976
131.5,166.8711616034792,1.0,22.32678765991558
131.75,166.8711875659747,1.0,22.32679459174297
132.0,166.8712131750722,1.0,22.326801429216314
132.25,166.871238435698,1.0,22.326808173650857
132.5,166.8712633527077,1.0,22.326814826342982
132.75,166.87128793088743,1.0,22.32682138857051
133.0,166.87131217495462,1.0,22.32682786159293
133.25,166.8713360895593,1.0,22.326834246651725
133.5,166.87135967928475,1.0,22.326840544970576
133.75,166.87138294864894,1.0,22.326846757755717
134.0,166.87140590210498,1.0,22.326852886196065
134.25,166.87142854404257,1.0,22.326858931463608
134.5,166.87145087878855,1.0,22.32686489471355
134.75,166.87147291060808,1.0,22.326870777084647
135.0,166.87149464370543,1.0,22.32687657969937
135.25,166.87151608222484,1.0,22.32688230366418
135.5,166.87153723025162,1.0,22.326887950069803
135.75,166.8715580918127,1.0,22.326893519991376
136.0,166.87157867087774,1.0,22.326899014488752
136.25,166.8715989713599,1.0,22.32690443460669
136.5,166.87161899711663,1.0,22.326909781375086
136.75,166.8716387519505,1.0,22.32691505580918
137.0,166.87165823961004,1.0,22.326920258909773
137.25,166.87167746379055,1.0,22.326925391663476
137.5,166.87169642813475,1.0,22.326930455042852
137.75,166.87171513623372,1.0,22.32693545000667
138.0,166.87173359162765,1.0,22.326940377500122
138.25,166.87175179780638,1.0,22.326945238454957
138.5,166.8717697582103,1.0,22.32695003378972
138.75,166.8717874762311,1.0,22.326954764409955
139.0,166.87180495521244,1.0,22.326959431208373
139.25,166.87182219845056,1.0,22.32696403506504
139.5,166.87183920919514,1.0,22.326968576847584
139.75,166.8718559906498,1.0,22.326973057411337
140.0,166.871872545973,1.0,22.326977477599566
140.25,166.87188887827844,1.0,22.326981838243608
140.5,166.87190499063587,1.0,22.326986140163044
140.75,166.8719208860717,1.0,22.3269903841659
141.0,166.8719365675696,1.0,22.32699457104878
141.25,166.87195203807124,1.0,22.32699870159708
141.5,166.87196730047668,1.0,22.32700277658509
141.75,166.8719823576452,1.0,22.327006796776207
142.0,166.87199721239568,1.0,22.327010762923035
142.25,166.8720118675075,1.0,22.32701467576765
142.5,166.8720263257207,1.0,22.327018536041617
142.75,166.87204058973686,1.0,22.32702234446623
143.0,166.87205466221957,1.0,22.327026101752637
143.25,166.87206854579495,1.0,22.327029808601992
143.5,166.8720822430522,1.0,22.327033465705583
143.75,166.87209575654424,1.0,22.327037073745018
144.0,166.87210908878802,1.0,22.327040633392297
144.25,166.87212224226516,1.0,22.32704414530999
144.5,166.8721352194226,1.0,22.32704761015141
144.75,166.87214802267283,1.0,22.327051028560668
145.0,166.87216065439463,1.0,22.327054401172877
145.25,166.87217311693337,1.0,22.327057728614225
