t,M
922.0,149.95901103475396
923.0,149.9589665660098
924.0,149.95892209723925
925.0,149.95887762844234
926.0,149.95883315961905
927.0,149.95878869076938
928.0,149.95874422189334
929.0,149.95869975299092
930.0,149.95865528406216
931.0,149.95861081510702
932.0,149.9585663461255
933.0,149.95852187711762
934.0,149.95847740808335
935.0,149.9584329390227
936.0,149.9583884699357
937.0,149.9583440008223
938.0,149.95829953168254
939.0,149.9582550625164
940.0,149.95821059332388
941.0,149.958166124105
942.0,149.95812165485972
943.0,149.95807718558808
944.0,149.95803271629006
945.0,149.95798824696567
946.0,149.9579437776149
947.0,149.95789930823776
948.0,149.95785483883424
949.0,149.95781036940434
950.0,149.95776589994807
951.0,149.95772143046543
952.0,149.9576769609564
953.0,149.957632491421
954.0,149.95758802185927
955.0,149.95754355227115
956.0,149.95749908265665
957.0,149.95745461301578
958.0,149.95741014334854
959.0,149.95736567365492
960.0,149.95732120393492
961.0,149.95727673418855
962.0,149.9572322644158
963.0,149.9571877946167
964.0,149.9571433247912
965.0,149.95709885493932
966.0,149.95705438506107
967.0,149.95700991515645
968.0,149.95696544522545
969.0,149.95692097526808
970.0,149.95687650528433
971.0,149.9568320352742
972.0,149.9567875652377
973.0,149.95674309517483
974.0,149.95669862508558
975.0,149.95665415496995
976.0,149.95660968482795
977.0,149.95656521465958
978.0,149.95652074446483
979.0,149.9564762742437
980.0,149.9564318039962
981.0,149.95638733372232
982.0,149.95634286342207
983.0,149.95629839309544
984.0,149.95625392274243
985.0,149.95620945236305
986.0,149.9561649819573
987.0,149.95612051152517
988.0,149.95607604106667
989.0,149.95603157058176
990.0,149.95598710007047
991.0,149.9559426295328
992.0,149.95589815896878
993.0,149.95585368837837
994.0,149.95580921776158
995.0,149.95576474711842
996.0,149.9557202764489
997.0,149.95567580575297
998.0,149.9556313350307
999.0,149.95558686428203
1000.0,149.955542393507
1001.0,149.95549792270558
1002.0,149.9554534518778
1003.0,149.95540898102362
1004.0,149.95536451014308
1005.0,149.95532003923617
1006.0,149.95527556830288
1007.0,149.95523109734322
1008.0,149.95518662635718
1009.0,149.95514215534476
1010.0,149.95509768430597
1011.0,149.9550532132408
1012.0,149.95500874214926
1013.0,149.95496427103134
1014.0,149.95491979988702
1015.0,149.95487532871633
1016.0,149.95483085751926
1017.0,149.9547863862958
1018.0,149.954741915046
1019.0,149.9546974437698
1020.0,149.95465297246722
1021.0,149.95460850113827
1022.0,149.95456402978294
1023.0,149.95451955840124
1024.0,149.95447508699317
1025.0,149.95443061555872
1026.0,149.9543861440979
1027.0,149.9543416726107
1028.0,149.95429720109712
1029.0,149.95425272955714
1030.0,149.95420825799079
1031.0,149.95416378639806
1032.0,149.95411931477895
1033.0,149.95407484313347
1034.0,149.9540303714616
1035.0,149.95398589976338
1036.0,149.95394142803877
1037.0,149.9538969562878
1038.0,149.95385248451043
1039.0,149.9538080127067
1040.0,149.95376354087657
1041.0,149.95371906902005
1042.0,149.95367459713717
1043.0,149.9536301252279
1044.0,149.95358565329227
1045.0,149.95354118133025
1046.0,149.95349670934186
1047.0,149.9534522373271
1048.0,149.95340776528596
1049.0,149.95336329321844
1050.0,149.95331882112453
1051.0,149.95327434900423
1052.0,149.95322987685756
1053.0,149.95318540468452
1054.0,149.9531409324851
1055.0,149.9530964602593
1056.0,149.95305198800713
1057.0,149.9530075157286
1058.0,149.95296304342367
1059.0,149.95291857109234
1060.0,149.95287409873464
1061.0,149.95282962635056
1062.0,149.9527851539401
1063.0,149.9527406815033
1064.0,149.95269620904008
1065.0,149.9526517365505
1066.0,149.95260726403455
1067.0,149.9525627914922
1068.0,149.95251831892347
1069.0,149.95247384632836
1070.0,149.95242937370688
1071.0,149.95238490105902
1072.0,149.9523404283848
1073.0,149.95229595568418
1074.0,149.95225148295717
1075.0,149.95220701020378
1076.0,149.95216253742402
1077.0,149.95211806461788
1078.0,149.95207359178536
1079.0,149.95202911892648
1080.0,149.9519846460412
1081.0,149.95194017312954
1082.0,149.9518957001915
1083.0,149.95185122722708
1084.0,149.9518067542363
1085.0,149.95176228121912
1086.0,149.95171780817557
1087.0,149.95167333510565
1088.0,149.95162886200933
1089.0,149.95158438888663
1090.0,149.95153991573756
1091.0,149.9514954425621
1092.0,149.95145096936028
1093.0,149.95140649613208
1094.0,149.95136202287748
1095.0,149.9513175495965
1096.0,149.95127307628914
1097.0,149.9512286029554
1098.0,149.9511841295953
1099.0,149.95113965620882
1100.0,149.95109518279594
1101.0,149.95105070935668
1102.0,149.95100623589104
1103.0,149.95096176239903
1104.0,149.95091728888065
1105.0,149.95087281533586
1106.0,149.9508283417647
1107.0,149.95078386816715
1108.0,149.95073939454323
1109.0,149.95069492089294
1110.0,149.95065044721625
1111.0,149.95060597351318
1112.0,149.95056149978373
1113.0,149.9505170260279
1114.0,149.9504725522457
1115.0,149.95042807843714
1116.0,149.95038360460217
1117.0,149.95033913074082
1118.0,149.9502946568531
1119.0,149.950250182939
1120.0,149.9502057089985
1121.0,149.95016123503163
1122.0,149.95011676103837
1123.0,149.95007228701874
1124.0,149.95002781297273
1125.0,149.94998333890032
1126.0,149.94993886480154
1127.0,149.94989439067638
1128.0,149.94984991652484
1129.0,149.94980544234693
1130.0,149.9497609681426
1131.0,149.94971649391192
1132.0,149.94967201965486
1133.0,149.9496275453714
1134.0,149.9495830710616
1135.0,149.94953859672538
1136.0,149.94949412236278
1137.0,149.9494496479738
1138.0,149.94940517355846
1139.0,149.9493606991167
1140.0,149.94931622464858
1141.0,149.94927175015408
1142.0,149.9492272756332
1143.0,149.94918280108593
1144.0,149.94913832651227
1145.0,149.94909385191224
1146.0,149.94904937728583
1147.0,149.94900490263302
1148.0,149.94896042795384
1149.0,149.94891595324827
1150.0,149.94887147851634
1151.0,149.94882700375803
1152.0,149.9487825289733
1153.0,149.94873805416222
1154.0,149.94869357932475
1155.0,149.9486491044609
